,OrderNo,LabNo,Crop,LimeApp,Lime_rec_KSU,NApp1,N_KSU_Rec,P2O5App,P2O5_KSU_Rec,K2OApp,K2O_KSU_Rec
0,26634,8238,Corn,2350,2300.0,50,50.0,0,0.0,0,0.0
1,26634,8238,Sorghum Grain (Milo),2350,2300.0,5,0.0,0,0.0,0,0.0
2,26634,8239,Corn,0,0.0,0,0.0,0,-0.0,0,0.0
3,26634,8239,Sorghum Grain (Milo),0,0.0,0,0.0,0,-0.0,0,0.0
4,26634,8240,Corn,2350,2300.0,55,55.0,10,10.0,0,0.0
5,26634,8240,Sorghum Grain (Milo),2350,2300.0,10,10.0,10,10.0,0,0.0
6,26634,8241,Sorghum Grain (Milo),2150,2050.0,130,130.0,10,10.0,0,0.0
7,26634,8241,Soybeans,2150,2050.0,0,0.0,10,10.0,0,0.0
8,26634,8242,Corn,0,0.0,100,100.0,70,70.0,0,0.0
9,26634,8242,Sorghum Grain (Milo),0,0.0,50,50.0,60,65.0,0,0.0
10,26634,8243,Corn,1900,1850.0,40,40.0,45,45.0,0,0.0
11,26634,8243,Sorghum Grain (Milo),1900,1850.0,0,0.0,40,40.0,0,0.0
12,26634,8244,Sorghum Grain (Milo),2150,2050.0,60,60.0,20,20.0,0,0.0
13,26634,8244,Soybeans,2150,2050.0,0,0.0,25,25.0,0,0.0
14,26634,8245,Sorghum Grain (Milo),0,0.0,75,75.0,30,35.0,0,0.0
15,26634,8245,Soybeans,0,0.0,0,0.0,40,40.0,0,0.0
16,26634,8246,Corn,0,0.0,180,180.0,0,0.0,0,0.0
17,26634,8246,Soybeans,0,0.0,0,0.0,0,0.0,0,0.0
18,26634,8247,Corn,0,0.0,155,155.0,0,0.0,0,0.0
19,26634,8247,Soybeans,0,0.0,0,0.0,0,0.0,0,0.0
20,26634,8248,Corn,2150,2050.0,115,115.0,0,0.0,0,0.0
21,26634,8248,Soybeans,2150,2050.0,0,0.0,0,0.0,0,0.0
